dataset,contrast,checkpoint,metric,status,estimate,realizations,pointwise_interval,adjusted_interval,order_dispersion,t_sensitivity,interpretation,classification,scientific_admission,pairing_issues
zsre,primary-vs-v0_live_C2,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_live_C2,1000,ES,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_live_C2,1000,LS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-S1_LM,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-S1_LM,1000,ES,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-S1_LM,1000,LS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-S1_literal,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-S1_literal,1000,ES,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-S1_literal,1000,LS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
counterfact,primary-vs-R1_nonlearned,1000,RET-GS,complete,0.5575,"[0.5655,0.545,0.5619999999999999]","{""confidence"":0.975,""lower"":0.545,""upper"":0.5655}","{""confidence"":0.9992063492063492,""lower"":0.545,""upper"":0.5655}","[{""complete"":true,""maximum"":0.5655,""mean"":0.5655,""minimum"":0.5655,""observed_orders"":5,""order_values"":[0.5655,0.5655,0.5655,0.5655,0.5655],""realization"":0,""sample_sd"":0.0},{""complete"":true,""maximum"":0.545,""mean"":0.545,""minimum"":0.545,""observed_orders"":5,""order_values"":[0.545,0.545,0.545,0.545,0.545],""realization"":1,""sample_sd"":0.0},{""complete"":true,""maximum"":0.5619999999999999,""mean"":0.5619999999999999,""minimum"":0.5619999999999999,""observed_orders"":5,""order_values"":[0.5619999999999999,0.5619999999999999,0.5619999999999999,0.5619999999999999,0.5619999999999999],""realization"":2,""sample_sd"":0.0}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.01096585609973062,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":0.5302593033213694,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":0.5847406966786306,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
counterfact,primary-vs-R1_nonlearned,1000,ES,complete,-0.0070666667,"[-0.008600000000000007,-0.0064000000000000055,-0.006200000000000006]","{""confidence"":0.975,""lower"":-0.008600000000000007,""upper"":-0.006200000000000007}","{""confidence"":0.9992063492063492,""lower"":-0.008600000000000007,""upper"":-0.006200000000000007}","[{""complete"":true,""maximum"":-0.007000000000000006,""mean"":-0.008600000000000007,""minimum"":-0.01100000000000001,""observed_orders"":5,""order_values"":[-0.01100000000000001,-0.007000000000000006,-0.007000000000000006,-0.009000000000000008,-0.009000000000000008],""realization"":0,""sample_sd"":0.0016733200530681524},{""complete"":true,""maximum"":-0.0050000000000000044,""mean"":-0.0064000000000000055,""minimum"":-0.010000000000000009,""observed_orders"":5,""order_values"":[-0.010000000000000009,-0.0050000000000000044,-0.006000000000000005,-0.006000000000000005,-0.0050000000000000044],""realization"":1,""sample_sd"":0.002073644135332774},{""complete"":true,""maximum"":-0.0040000000000000036,""mean"":-0.006200000000000006,""minimum"":-0.010000000000000009,""observed_orders"":5,""order_values"":[-0.007000000000000006,-0.010000000000000009,-0.006000000000000005,-0.0040000000000000036,-0.0040000000000000036],""realization"":2,""sample_sd"":0.002489979919597749}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.0013316656236958793,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":-0.010374707461890136,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":-0.003758625871443209,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
counterfact,primary-vs-R1_nonlearned,1000,LS,complete,0.98,"[0.9800000000000001,1.0,0.96]","{""confidence"":0.975,""lower"":0.96,""upper"":1.0}","{""confidence"":0.9992063492063492,""lower"":0.96,""upper"":1.0}","[{""complete"":true,""maximum"":0.98,""mean"":0.9800000000000001,""minimum"":0.98,""observed_orders"":5,""order_values"":[0.98,0.98,0.98,0.98,0.98],""realization"":0,""sample_sd"":1.2412670766236366e-16},{""complete"":true,""maximum"":1.0,""mean"":1.0,""minimum"":1.0,""observed_orders"":5,""order_values"":[1.0,1.0,1.0,1.0,1.0],""realization"":1,""sample_sd"":0.0},{""complete"":true,""maximum"":0.96,""mean"":0.96,""minimum"":0.96,""observed_orders"":5,""order_values"":[0.96,0.96,0.96,0.96,0.96],""realization"":2,""sample_sd"":0.0}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.020000000000000018,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":0.930317245765609,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":1.029682754234391,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
counterfact,primary-vs-v0_stable,1000,RET-GS,complete,0.678,"[0.6915,0.666,0.6765]","{""confidence"":0.975,""lower"":0.666,""upper"":0.6915}","{""confidence"":0.9992063492063492,""lower"":0.666,""upper"":0.6915}","[{""complete"":true,""maximum"":0.6915,""mean"":0.6915,""minimum"":0.6915,""observed_orders"":5,""order_values"":[0.6915,0.6915,0.6915,0.6915,0.6915],""realization"":0,""sample_sd"":0.0},{""complete"":true,""maximum"":0.666,""mean"":0.666,""minimum"":0.666,""observed_orders"":5,""order_values"":[0.666,0.666,0.666,0.666,0.666],""realization"":1,""sample_sd"":0.0},{""complete"":true,""maximum"":0.6765,""mean"":0.6765,""minimum"":0.6765,""observed_orders"":5,""order_values"":[0.6765,0.6765,0.6765,0.6765,0.6765],""realization"":2,""sample_sd"":0.0}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.012816005617976281,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":0.6461632771307755,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":0.7098367228692244,""zero_variance_caveat"":null}",preliminary_decision_summary,inconclusive,True,[]
counterfact,primary-vs-v0_stable,1000,ES,complete,-0.0070666667,"[-0.008600000000000007,-0.0064000000000000055,-0.006200000000000006]","{""confidence"":0.975,""lower"":-0.008600000000000007,""upper"":-0.006200000000000007}","{""confidence"":0.9992063492063492,""lower"":-0.008600000000000007,""upper"":-0.006200000000000007}","[{""complete"":true,""maximum"":-0.007000000000000006,""mean"":-0.008600000000000007,""minimum"":-0.01100000000000001,""observed_orders"":5,""order_values"":[-0.01100000000000001,-0.007000000000000006,-0.007000000000000006,-0.009000000000000008,-0.009000000000000008],""realization"":0,""sample_sd"":0.0016733200530681524},{""complete"":true,""maximum"":-0.0050000000000000044,""mean"":-0.0064000000000000055,""minimum"":-0.010000000000000009,""observed_orders"":5,""order_values"":[-0.010000000000000009,-0.0050000000000000044,-0.006000000000000005,-0.006000000000000005,-0.0050000000000000044],""realization"":1,""sample_sd"":0.002073644135332774},{""complete"":true,""maximum"":-0.0040000000000000036,""mean"":-0.006200000000000006,""minimum"":-0.010000000000000009,""observed_orders"":5,""order_values"":[-0.007000000000000006,-0.010000000000000009,-0.006000000000000005,-0.0040000000000000036,-0.0040000000000000036],""realization"":2,""sample_sd"":0.002489979919597749}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.0013316656236958793,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":-0.010374707461890136,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":-0.003758625871443209,""zero_variance_caveat"":null}",preliminary_decision_summary,inconclusive,True,[]
